DEV_KEY;en;tr;en_one;en_other;tr_one;tr_other
deleteBin.allDeletedMessage;All items have been moved to Recently Deleted.;Tüm ögeler Son Silinenler klasörüne taşındı.;;;;
deleteBin.binCountTitle;Bin · %d;Çöp · %d;;;;
deleteBin.deleteCannotUndo;Items will be moved to the Recently Deleted folder in Photos, where they'll stay for 30 days before being permanently removed.;Ögeler, Fotoğraflar'daki Son Silinenler klasörüne taşınacak ve kalıcı olarak silinmeden önce 30 gün boyunca saklanacaktır.;;;;
deleteBin.deleteConfirmTitle;Delete %@?;%@ silinsin mi?;;;;
deleteBin.deletingProgress;Deleting...;Siliniyor...;;;;
deleteBin.editMode;Edit;Düzenle;;;;
deleteBin.emptyMessage;Swipe left on photos to add them here. When you're ready, delete them all at once.;Fotoğrafları buraya eklemek için sola kaydırın. Hazır olduğunuzda hepsini bir kerede silin.;;;;
deleteBin.errorMessage;Some items could not be deleted. Please try again.;Bazı ögeler silinemedi. Lütfen tekrar deneyin.;;;;
deleteBin.errorTitle;Error;Hata;;;;
deleteBin.freshEmptyMessage;You freed up %@ by deleting %@.;%@ silerek %@ yer açtınız.;;;;
deleteBin.freshEmptyMessageNoSize;You deleted %@ from your library.;Kütüphanenizden %@ sildiniz.;;;;
deleteBin.goBack;Go Back;Geri Dön;;;;
deleteBin.goToGeneralBin;Go to General Bin;Genel Çöp Kutusuna  Git;;;;
deleteBin.monthBinTitle;%@ Bin;%@ Çöp;;;;
deleteBin.navTitle;Delete Bin;Çöp Kutusu;;;;
deleteBin.photoAndVideoCount;%@ and %@;%@ ve %@;;;;
deleteBin.photoCountWithSize;%@ · ~%@;%@ · ~%@;;;;
deleteBin.removeConfirmTitle;Remove %@?;%@ kaldırılsın mı?;;;;
deleteBin.successTitle;Success!;Başarılı!;;;;
deleteBin.yourDeleteBin;Your Delete Bin;Çöp Kutunuz;;;;
deleteBin.photoCount;;;%lld photo;%lld photos;%lld fotoğraf;%lld fotoğraf
deleteBin.videoCount;;;%lld video;%lld videos;%lld video;%lld video
deleteBin.removeConfirmMessage;;;This will restore %lld item to your library.;These will restore %lld items to your library.;%lld öge kütüphanenize geri yüklenecek.;%lld öge kütüphanenize geri yüklenecek.
filterCards.allPhotosSubtitle;Review all photos in this month;Bu aydaki tüm fotoğrafları inceleyin;;;;
filterCards.allPhotosTitle;All Photos;Tüm Fotoğraflar;;;;
filterCards.allVideosSubtitle;Review all videos in this month;Bu aydaki tüm videoları inceleyin;;;;
filterCards.allVideosTitle;All Videos;Tüm Videolar;;;;
filterCards.eyesClosedSubtitle;Find photos where eyes are closed;Gözlerin kapalı olduğu fotoğrafları bulun;;;;
filterCards.eyesClosedTitle;Eyes Closed;Gözler Kapalı;;;;
filterCards.finished;Finished;Tamamlandı;;;;
filterCards.keep;Keep;Tut;;;;
filterCards.largestSubtitlePhotos;Review largest photos first;Önce en büyük fotoğrafları inceleyin;;;;
filterCards.largestSubtitleVideos;Review largest videos first;Önce en büyük videoları inceleyin;;;;
filterCards.largestTitle;Largest First;Önce En Büyükler;;;;
filterCards.reviewed;Reviewed;İncelendi;;;;
filterCards.screenRecSubtitle;Find screen recordings to review;İncelemek için ekran kayıtlarını bulun;;;;
filterCards.screenRecTitle;Screen Recordings;Ekran Kayıtları;;;;
filterCards.screenshotsSubtitle;Find and clean up screenshots;Ekran görüntülerini bulun ve temizleyin;;;;
filterCards.screenshotsTitle;Screenshots;Ekran Görüntüleri;;;;
filterCards.similarSubtitle;Find and clean up similar photos;Benzer fotoğrafları bulun ve temizleyin;;;;
filterCards.similarTitle;Similar & Duplicated;Benzer ve Tekrarlanan;;;;
filterCards.slowMotionSubtitle;Find slow motion videos to review;İncelemek için ağır çekim videoları bulun;;;;
filterCards.slowMotionTitle;Slow Motion;Ağır Çekim;;;;
filterCards.store;Store;Depola;;;;
filterCards.timeLapseSubtitle;Find time-lapse videos to review;İncelemek için hızlandırılmış videoları bulun;;;;
filterCards.timeLapseTitle;Time-Lapse;Hızlandırılmış;;;;
historyDetail.delete;Delete;Sil;;;;
historyDetail.keep;Keep;Tut;;;;
historyDetail.store;Store;Depola;;;;
home.browseByMonth;Browse by Month;Aya Göre Gözat;;;;
home.navTitle;Home;Ana Sayfa;;;;
home.photosTitle;Photos;Fotoğraflar;;;;
home.videosTitle;Videos;Videolar;;;;
iCloudWarning.lowQualityMessage;Some photos and videos are stored in iCloud and can't be fully downloaded right now. You can still review them in lower quality.;Bazı fotoğraf ve videolar iCloud'da saklanıyor ve şu anda tam olarak indirilemiyor. Yine de düşük kalitede inceleyebilirsiniz.;;;;
iCloudWarning.mediaUnavailable;%@ Unavailable;%@ Kullanılamıyor;;;;
iCloudWarning.photoUnavailableMessage;This photo is stored in iCloud and can't be downloaded right now. Connect to the internet or enable internet access in Settings to view it.;Bu fotoğraf iCloud'da saklanıyor ve şu anda indirilemiyor. Görüntülemek için internete bağlanın veya Ayarlar'dan internet erişimini etkinleştirin.;;;;
iCloudWarning.videoUnavailableMessage;This video is stored in iCloud and can't be downloaded right now. Connect to the internet or enable internet access in Settings to view it.;Bu video iCloud'da saklanıyor ve şu anda indirilemiyor. Görüntülemek için internete bağlanın veya Ayarlar'dan internet erişimini etkinleştirin.;;;;
iCloudWarning.viewingLowQuality;Viewing in Low Quality;Düşük Kalitede Görüntüleniyor;;;;
impactStats.emptyStats;Start reviewing to see your stats!;İstatistiklerinizi görmek için incelemeye başlayın!;;;;
impactStats.itemsStored;Items Stored;Depolanan Ögeler;;;;
impactStats.photos;Photos;Fotoğraflar;;;;
impactStats.reviewedDeleted;%d reviewed · %d deleted;%d incelenen · %d silinen;;;;
impactStats.spaceSaved;Space Saved;Kazanılan Alan;;;;
impactStats.totalReviewed;Total Reviewed;Toplam İncelenen;;;;
impactStats.videos;Videos;Videolar;;;;
luckyPicker.eyesClosed;Eyes Closed;Gözler Kapalı;;;;
luckyPicker.filter;Filter;Filtre;;;;
luckyPicker.filterAll;All;Tümü;;;;
luckyPicker.goToButton;Go to %@ · %@;%@ · %@ Sayfasına Git;;;;
luckyPicker.largePhotos;Large Photos;Büyük Fotoğraflar;;;;
luckyPicker.largeVideos;Large Videos;Büyük Videolar;;;;
luckyPicker.media;Media;Medya;;;;
luckyPicker.month;Month;Ay;;;;
luckyPicker.noMonth;No month;Ay yok;;;;
luckyPicker.noMonthsAvailable;No months available;Kullanılabilir ay yok;;;;
luckyPicker.photos;Photos;Fotoğraflar;;;;
luckyPicker.screenRecordings;Screen Recordings;Ekran Kayıtları;;;;
luckyPicker.screenshots;Screenshots;Ekran Görüntüleri;;;;
luckyPicker.shuffleAgain;Shuffle Again;Tekrar Karıştır;;;;
luckyPicker.slowMotion;Slow Motion;Ağır Çekim;;;;
luckyPicker.subtitle;Let us pick a random month and filter for you!;Sizin için rastgele bir ay ve filtre seçelim!;;;;
luckyPicker.timeLapse;Time-Lapse;Hızlandırılmış;;;;
luckyPicker.title;I Feel Lucky!;Şanslı Hissediyorum!;;;;
luckyPicker.videos;Videos;Videolar;;;;
mainTabBar.deleteAll;Delete All;Tümünü Sil;;;;
mediaPreview.deleteNow;Delete Now;Şimdi Sil;;;;
mediaPreview.removeFromBin;Remove from Bin;Çöp kutusundan kaldır;;;;
mediaType.photo;Photo;Fotoğraf;;;;
mediaType.video;Video;Video;;;;
monthHelpers.backToMonths;Back to Months;Aylara Dön;;;;
monthHelpers.clearFilter;Clear Filter;Filtreyi Temizle;;;;
monthHelpers.monthCompleteMessage;You reviewed all %1$d photos in %2$@.;%2$@'da tüm %1$d fotoğrafı incelediniz.;;;;
monthHelpers.monthCompleteTitle;Month Complete!;Ay Tamamlandı!;;;;
monthHelpers.monthEmptyMessage;There are no items left in this month. They may have been deleted or moved.;Bu ayda öge kalmadı. Silinmiş veya taşınmış olabilirler.;;;;
monthHelpers.noPhotosInMonth;No Photos in %@;%@'da Fotoğraf Yok;;;;
monthHelpers.noResultsMessage;No results found for this filter. Try a different filter or month.;Bu filtre için sonuç bulunamadı. Farklı bir filtre veya ay deneyin.;;;;
monthHelpers.noResultsTitle;No Results Found;Sonuç Bulunamadı;;;;
monthHelpers.tryAnotherMonth;Try Another Month;Başka Bir Ay Deneyin;;;;
monthHelpers.viewDeleteBin;View Delete Bin;Çöp Kutusunu Gör;;;;
monthReview.eyesClosedTitle;Eyes Closed · %@;Gözler Kapalı · %@;;;;
monthReview.keep;Keep;Tut;;;;
monthReview.largePhotosTitle;Large Photos · %@;Büyük Fotoğraflar · %@;;;;
monthReview.largeVideosTitle;Large Videos · %@;Büyük Videolar · %@;;;;
monthReview.screenRecordingsTitle;Screen Recordings · %@;Ekran Kayıtları · %@;;;;
monthReview.screenshotsTitle;Screenshots · %@;Ekran Görüntüleri · %@;;;;
monthReview.slowMotionTitle;Slow Motion · %@;Ağır Çekim · %@;;;;
monthReview.store;Store;Depola;;;;
monthReview.timeLapseTitle;Time-Lapse · %@;Hızlandırılmış · %@;;;;
monthsList.accessDenied;Photo access is denied. Please enable it in Settings to use the app.;Fotoğraf erişimi reddedildi. Uygulamayı kullanmak için lütfen Ayarlar'dan etkinleştirin.;;;;
monthsList.allYears;All Years;Tüm Yıllar;;;;
monthsList.allowAccessMessage;To help you clean up your photo library, we need access to your photos.;Fotoğraf kütüphanenizi temizlemenize yardımcı olmak için fotoğraflarınıza erişim izni gerekiyor.;;;;
monthsList.allowPhotoAccess;Allow Photo Access;Fotoğraf Erişimine İzin Ver;;;;
monthsList.filter;Filter;Filtre;;;;
monthsList.openSettings;Open Settings;Ayarları Aç;;;;
monthsList.status;Status;Durum;;;;
monthsList.year;Year;Yıl;;;;
motivation.catVideos;Make room for more cat videos!;Daha fazla kedi videosu için yer açın!;;;;
motivation.littleRoom;Make a little room today;Bugün biraz yer açın;;;;
motivation.memoriesOnTheWay;New memories are on the way!;Yeni anılar yolda!;;;;
motivation.memoriesPileUp;Memories pile up — time to sort!;Anılar birikiyor — ayıklama zamanı!;;;;
motivation.newMemories;Make space for new memories;Yeni anılara yer açın;;;;
motivation.nextTrip;Clean up before your next trip!;Bir sonraki seyahatinizden önce alan açın!;;;;
motivation.noSpace;No space for your next video?;Bir sonraki videonuz için yer yok mu?;;;;
motivation.organizeGallery;Let's organize your gallery!;Galerinizi düzenleyelim!;;;;
motivation.perfectMoment;Space for the perfect moment;Mükemmel anlar için yer açın;;;;
motivation.readyForCaptures;Storage ready for new captures;Depolaman yeni çekimler için hazır;;;;
motivation.storageFull;Don't let your storage fill up!;Depolama alanınızın dolmasına izin vermeyin!;;;;
notification.cleanNow;Clean Now;Şimdi Temizle;;;;
notification.fallback1;Your photo library could use a cleanup!;Fotoğraflarınız artık temizlenmeli!;;;;
notification.fallback2;Time to tidy up your photos!;Fotoğraflarınızı düzenleme zamanı!;;;;
notification.fallback3;Free up space by reviewing your photos.;Fotoğraflarınızı inceleyerek yer açın.;;;;
notification.fallback4;Got screenshots and duplicates? Let's clean them up!;Çok mu fazla kopya var? Hadi temizleyelim!;;;;
notification.fallback5;Review your recent photos and free up space!;Son fotoğraflarınızı inceleyin ve yer açın!;;;;
notification.fallback6;Stay organized, review your photo library today.;Düzenli kalın,  bugün fotoğraf kütüphanenizi inceleyin.;;;;
notification.fallback7;Remove photos you no longer need.;Artık ihtiyacınız olmayan fotoğrafları kaldırın.;;;;
notification.fallback8;Start fresh,  clean up your photo library!;Yeni bir başlangıç yapın, fotoğraf kütüphanenizi temizleyin!;;;;
notification.snooze;Snooze;Ertele;;;;
notification.title;Photo Cleanup Reminder;Fotoğraf Temizleme Hatırlatıcısı;;;;
onboarding.gotIt;Got It!;Anladım!;;;;
onboarding.subtitle;Review your photos by swiping. It's quick, easy, and safe!;Fotoğraflarınızı kaydırarak inceleyin. Hızlı, kolay ve güvenli!;;;;
onboarding.swipeLeftInfo;You can review and confirm before anything is deleted.;Silinmeden önce inceleyip onaylayabilirsiniz;;;;
onboarding.swipeLeftTitle;Swipe Left to Delete;Silmek İçin Sola Kaydırın;;;;
onboarding.swipeRightInfo;It remains in your photo library;Fotoğraf kütüphanenizde kalır;;;;
onboarding.swipeRightTitle;Swipe Right to Keep;Tutmak İçin Sağa Kaydırın;;;;
onboarding.swipeUpInfo; It is added to the “Will Be Stored” album in Photos;"Fotoğraflardaki ""Depolanacak"" albümüne eklenir";;;;
onboarding.swipeUpTitle;Swipe Up to Store;Depolamak İçin Yukarı Kaydırın;;;;
onboarding.title;Welcome to Purgio;Purgio'a Hoş Geldiniz;;;;
processing.analyzingFileSizes;Analyzing file sizes...;Dosya boyutları analiz ediliyor...;;;;
processing.calculating;Calculating...;Hesaplanıyor...;;;;
processing.estimateRemaining;Est: %.1fs remaining;Tahmini: %.1fs kaldı;;;;
processing.initializingDetector;Initializing detector...;Dedektör başlatılıyor...;;;;
processing.loadingPhotos;Loading photos...;Fotoğraflar yükleniyor...;;;;
processing.scanningFaces;Scanning faces...;Yüzler taranıyor...;;;;
processing.warmingUp;Warming up...;Hazırlanıyor...;;;;
reminder.daysInactive;;;It's been %lld day since your last review. Time for a quick cleanup!;It's been %lld days since your last review. Time for a quick cleanup!;Son incelemenizden bu yana %lld gün geçti. Hızlı bir temizlik zamanı!;Son incelemenizden bu yana %lld gün geçti. Hızlı bir temizlik zamanı!
reminder.freedLastTime;You freed up %@ last time. Ready for another round?;Geçen sefer %@ yer açtınız. Bir tur daha hazır mısınız?;;;;
reminder.inProgressMonth;You're %1$d%% through %2$@. Finish it up!;%2$@'ı %%%1$d tamamladınız. Bitirin!;;;;
reminder.monthSinceCleanup1;It's been over a month since your last cleanup. Time to declutter!;Son temizliğinizin üzerinden bir aydan fazla zaman geçti. Düzenleme zamanı!;;;;
reminder.monthSinceCleanup2;Your photos are piling up! A quick review can help.;Fotoğraflarınız birikiyor! Hızlı bir inceleme yardımcı olabilir.;;;;
reminder.monthSinceCleanup3;A month without cleaning, let’s fix that!;Bir aydır temizlik yapmadın, hadi bunu düzeltelim!;;;;
reminder.potentialSavings;You could save up to %@, let's get cleaning!;%@'a kadar kazanç sağlayabilirsin,  hadi temizleyelim!;;;;
reminder.reviewStreak;You're on a %d-day review streak! Keep it going!;%d günlük inceleme seriniz var! Devam edin!;;;;
reminder.savedLastTime;You saved %@ last time. Let's do it again!;Geçen sefer %@ kazandınız. Hadi tekrar yapalım!;;;;
reminder.similarPhotosOverdue;You have similar photos waiting to be reviewed. Let's clean them up!;İncelenmeyi bekleyen benzer fotoğraflarınız var. Hadi temizleyelim!;;;;
reminder.totalDeleted;You've deleted %d photos so far. Keep the momentum!;Şimdiye kadar %d fotoğraf sildiniz. Devam edin!;;;;
reminder.totalReviewed;You've reviewed %d photos in total. Impressive!;Toplamda %d fotoğraf incelediniz. Etkileyici!;;;;
reminder.totalSaved;You've saved %@ so far. Every bit counts!;Şimdiye kadar %@ kazandın. Her bit önemli!;;;;
reminder.binHasItems1;;;You have %lld item in the bin. Clear it now!;You have %lld items in the bin. Clear them now!;Çöp kutunuzda %lld öge var. Şimdi temizleyin!;Çöp kutunuzda %lld öge var. Şimdi temizleyin!
reminder.binHasItems2;;;There's %lld item waiting in the bin.;There are %lld items waiting in the bin.;%lld öge Çöp kutunuzda bekliyor.;%lld öge Çöp kutunuzda bekliyor.
reminder.binHasItems3;;;You have %lld item ready to delete!;You have %lld items ready to delete!;%lld öge silinmeye hazır!;%lld öge silinmeye hazır!
reminder.lastCleanedCount;;;You cleaned %lld item last time. Can you beat that?;You cleaned %lld items last time. Can you beat that?;Geçen sefer %lld öge temizlediniz. Bunu geçebilir misiniz?;Geçen sefer %lld öge temizlediniz. Bunu geçebilir misiniz?
settings.about;About;Hakkında;;;;
settings.daily;Daily;Günlük;;;;
settings.features;Features;Özellikler;;;;
settings.internetOffMessage;Internet access disabled;İnternet erişimi devre dışı bırakıldı;;;;
settings.language;Language;Dil;;;;
settings.languageTitle;App Language;Uygulama Dili;;;;
settings.languageSubtitle;English, Turkish;İngilizce, Türkçe;;;;
settings.languageButton;Change Language;Dili Değiştir;;;;
settings.internetOnMessage;Internet access enabled;İnternet erişimi etkinleştirildi;;;;
settings.internetSubtitle;When enabled, iCloud photos can be downloaded for full-quality review.;Etkinleştirildiğinde, iCloud fotoğrafları tam kalitede inceleme için indirilebilir.;;;;
settings.internetTitle;Internet Access;İnternet Erişimi;;;;
settings.madeBy;Made by Zeynep Müslim;Zeynep Müslim tarafından yapıldı;;;;
settings.monthly;Monthly;Aylık;;;;
settings.navTitle;Settings;Ayarlar;;;;
settings.notificationsDeniedMessage;Notifications are disabled. Please enable them in Settings to receive reminders.;Bildirimler devre dışı. Hatırlatma almak için lütfen Ayarlar'dan etkinleştirin.;;;;
settings.notificationsDisabled;Notifications Disabled;Bildirimler Devre Dışı;;;;
settings.photoManagement;Photo Management;Fotoğraf Yönetimi;;;;
settings.privacyText;Your photos never leave your device. All processing happens locally, no data is uploaded or shared.;Fotoğraflarınız asla cihazınızdan çıkmaz. Tüm işlemler yerel olarak gerçekleşir, hiçbir veri yüklenmez veya paylaşılmaz.;;;;
settings.privacyTitle;Privacy First;Önce Gizlilik;;;;
settings.remindersTitle;Reminders;Hatırlatmalar;;;;
settings.schedule;Schedule;Program;;;;
settings.skipICloudOffMessage;iCloud-only photos will be shown;Yalnızca iCloud fotoğrafları gösterilecek;;;;
settings.skipICloudOnMessage;iCloud-only photos will be skipped;Yalnızca iCloud fotoğrafları atlanacak;;;;
settings.skipICloudSubtitle;When enabled, photos stored only in iCloud will be skipped during review.;Etkinleştirildiğinde, yalnızca iCloud'da saklanan fotoğraflar inceleme sırasında atlanacaktır.;;;;
settings.skipICloudTitle;Skip iCloud Photos;iCloud Fotoğraflarını Atla;;;;
settings.storageAnalysis;Storage Analysis;Depolama Analizi;;;;
settings.storeText;"Swiping up saves a photo to the ""Will Be Stored"" album. You can review them later.";"Yukarı kaydırmak fotoğrafı ""Depolanacak"" albümüne kaydeder. Daha sonra inceleyebilirsiniz.";;;;
settings.storeTitle;Store Feature;Depolama Özelliği;;;;
settings.support;Support;Destek;;;;
settings.supportButton;Support on Patreon;Patreon'da Destek Ol;;;;
settings.supportText;If you like the app, you can support the developer and the project on Patreon.;Eğer uygulamayı beğendiyseniz, geliştiriciyi ve projeyi  Patreon’dan destekleyebilirsiniz.;;;;
settings.supportTitle;Support the Project;Projeyi Destekleyin;;;;
settings.transparencyText;This app is open source. You can view the full source code on GitHub.;Bu uygulama açık kaynaklıdır. Tam kaynak kodunu GitHub'da görüntüleyebilirsiniz.;;;;
settings.transparencySafety;Transparency & Safety;Şeffaflık ve Güvenlik;;;;
settings.transparencyTitle;Transparency;Şeffaflık;;;;
settings.version;Version;Sürüm;;;;
settings.viewSourceCode;View Source Code;Kaynak Kodunu Görüntüle;;;;
settings.weekly;Weekly;Haftalık;;;;
settings.yourImpact;Your Impact;İstatistikleriniz;;;;
similarGroup.confirm;Confirm;Onayla;;;;
similarGroup.delete;Delete;Sil;;;;
similarGroup.keep;Keep;Tut;;;;
similarGroup.setTitle;Set #%d;Set #%d;;;;
similarGroup.store;Store;Depola;;;;
similarGroup.undoAction;Undo;Geri Al;;;;
similarHelp.confirmHint;Tap Confirm when you're done.;İşin bittiğinde Onayla'ya dokun;;;;
similarHelp.delete;Delete;Sil;;;;
similarHelp.deleteDesc;Mark for deletion;Silmek için işaretle;;;;
similarHelp.gotIt;Got It!;Anladım!;;;;
similarHelp.keep;Keep;Tut;;;;
similarHelp.keepDesc;Keep in default place;Orijinal yerinde bırak;;;;
similarHelp.store;Store;Depola;;;;
similarHelp.storeDesc; Save to a separate album;Ayrı bir albüme kaydet ;;;;
similarHelp.storeHint;Tap the button to select storage;Depolama seçimi için butona dokun;;;;
similarHelp.tapToToggle;Tap to toggle between Keep / Delete;Tut  / Sil arasında geçiş yapmak için dokun;;;;
similarPhotos.alreadyProcessedMessage;This group has already been processed. You can undo it if needed.;Bu grup zaten işlendi. Gerekirse geri alabilirsiniz.;;;;
similarPhotos.alreadyProcessedTitle;Already Processed;Zaten İşlendi;;;;
similarPhotos.batchBinTitle;Confirm All Groups;Tüm Grupları Onayla;;;;
similarPhotos.batchConfirmAction;Add to Bin;Çöpe Ekle;;;;
similarPhotos.batchConfirmTitle;Confirm All Groups?;Tüm Gruplar Onaylansın mı?;;;;
similarPhotos.confirm;Confirm;Onayla;;;;
similarPhotos.confirmTitle;Confirm Actions;İşlemleri Onayla;;;;
similarPhotos.navTitle;Similar · %@;Benzer · %@;;;;
similarPhotos.noSimilarMessage;No similar photos were found in this month. Try another month or scan again.;Bu ayda benzer fotoğraf bulunamadı. Başka bir ay deneyin veya tekrar tarayın.;;;;
similarPhotos.noSimilarTitle;No Similar Photos Found;Benzer Fotoğraf Bulunamadı;;;;
similarPhotos.noUnprocessedGroups;All groups have been processed!;Tüm gruplar işlendi!;;;;
similarPhotos.photosAccessDenied;Photos access is required to scan for similar photos.;Benzer fotoğrafları taramak için fotoğraf erişim gereklidir.;;;;
similarPhotos.scanAgain;Scan Again;Tekrar Tara;;;;
similarPhotos.scanningMessage;Scanning for similar photos...;Benzer fotoğraflar taranıyor...;;;;
similarPhotos.title;Similar Photos;Benzer Fotoğraflar;;;;
similarPhotos.tryAnotherMonth;Try Another Month;Başka Bir Ay Deneyin;;;;
similarPhotos.undoAll;Undo All;Tümünü Geri Al;;;;
similarPhotos.deleteCount;;;Delete %lld photo;Delete %lld photos;%lld fotoğrafı sil;%lld fotoğrafı sil
similarPhotos.fromGroups;;;From %lld group;From %lld groups;%lld gruptan;%lld gruptan
similarPhotos.keepCount;;;Keep %lld photo;Keep %lld photos;%lld fotoğrafı tut;%lld fotoğrafı tut
similarPhotos.storeCount;;;Store %lld photo;Store %lld photos;%lld fotoğrafı depola;%lld fotoğrafı depola
storageAnalysis.allPhotosAndVideos;All Photos and Videos;Tüm Fotoğraflar ve Videolar;;;;
storageAnalysis.analyzing;Analyzing...;Analiz ediliyor...;;;;
storageAnalysis.available;Available;Kullanılabilir;;;;
storageAnalysis.generalStorageInfoOnly;Storage information is based on device estimates and may vary slightly.;Depolama bilgileri cihaz tahminlerine dayanır ve biraz farklılık gösterebilir.;;;;
storageAnalysis.iCloudActiveInfo;iCloud Photos enabled on device;Cihazda iCloud Fotoğraflar etkin;;;;
storageAnalysis.iCloudBannerText;iCloud Photo Library detected. %1$d items (%2$@, %3$d%%) are stored only in iCloud.;iCloud Fotoğraf Kütüphanesi algılandı. %1$d öge (%2$@, %%%3$d) yalnızca iCloud'da saklanıyor.;;;;
storageAnalysis.iCloudOnly;iCloud Only;Yalnızca iCloud;;;;
storageAnalysis.lastAnalyzed;Last analyzed: %@;Son analiz: %@;;;;
storageAnalysis.lastAnalyzedStale;%@ — Tap to refresh;%@ — Yenilemek için dokunun;;;;
storageAnalysis.mediaCountSubtitle;%d photos · %d videos;%d fotoğraf · %d video;;;;
storageAnalysis.notAnalyzedYet;Not analyzed yet;Henüz analiz edilmedi;;;;
storageAnalysis.onThisDevice;On This Device;Bu Cihazda;;;;
storageAnalysis.other;Other;Diğer;;;;
storageAnalysis.photos;Photos;Fotoğraflar;;;;
storageAnalysis.saved;Saved;Kazanılan;;;;
storageAnalysis.storageBreakdown;Storage Breakdown;Depolama Dağılımı;;;;
storageAnalysis.totalLibrary;Total Library;Toplam Kütüphane;;;;
storageAnalysis.tryAgain;Try Again;Tekrar Deneyin;;;;
storageAnalysis.unableToAnalyze;Unable to analyze storage;Depolama analiz edilemiyor;;;;
storageAnalysis.used;Used;Kullanılan;;;;
storageAnalysis.videos;Videos;Videolar;;;;
storageAnalysis.analyzeStorage;Analyze Storage;Depolamayı Analiz Et;;;;
storageLite.analyzeStorage;Analyze Storage;Depolamayı Analiz Et;;;;
storageLite.analyzing;Analyzing...;Analiz ediliyor...;;;;
storageLite.available;Available;Kullanılabilir;;;;
storageLite.generalStorageInfo;Storage information is based on device estimates and may vary.;Depolama bilgileri cihaz tahminlerine dayanır ve farklılık gösterebilir.;;;;
storageLite.iCloudActiveInfo;iCloud Photos enabled on device;Cihazda iCloud Fotoğraflar etkin;;;;
storageLite.lastAnalyzed;Last analyzed: %@;Son analiz: %@;;;;
storageLite.notAnalyzedYet;Not analyzed yet;Henüz analiz edilmedi;;;;
storageLite.other;Other;Diğer;;;;
storageLite.photos;Photos;Fotoğraflar;;;;
storageLite.savedLabel;Saved: %@;Kazanılan: %@;;;;
storageLite.storage;Storage;Depolama;;;;
storageLite.tryAgain;Try Again;Tekrar Deneyin;;;;
storageLite.unableToAnalyze;Unable to analyze storage;Depolama analiz edilemiyor;;;;
storageLite.usageLabel;Usage: %@ / %@;Kullanım: %@ / %@;;;;
storageLite.used;Used;Kullanılan;;;;
storageLite.videos;Videos;Videolar;;;;
storageSheet.analyzing;Analyzing...;Analiz ediliyor...;;;;
storageSheet.progressLabel;%1$@... %2$d%%;%1$@... %%%2$d;;;;
storageSheet.title;Storage Analysis;Depolama Analizi;;;;
storeTutorial.albumFavorites;Favorites;Favoriler;;;;
storeTutorial.albumRecents;Recents;Son Kaydedilenler;;;;
storeTutorial.albumScreenshots;Screenshots;Ekran Resimleri;;;;
storeTutorial.albumSelfies;Selfies;Selfie’ler;;;;
storeTutorial.albumVideos;Videos;Videolar;;;;
suggestion.duplicateShots;Clean up duplicate shots!;Tekrarlanan çekimleri temizleyin!;;;;
suggestion.largestVideos;See your largest videos;En büyük videolarınızı görün;;;;
suggestion.oldestFiles;Start with your oldest files;En eski dosyalarınızla başlayın;;;;
suggestion.screenshots;Review your screenshots;Ekran görüntülerinizi inceleyin;;;;
suggestion.similarPhotos;Clean up similar photos;Benzer fotoğrafları temizleyin;;;;
